,Unnamed: 0,Date,Close,Open,High,Low,Volume,Change,Kospi_Close,Kospi_Volume,Dow_Close,Dow_Volume,SP_Close,SSEC_Close,SSEC_Volume,EU_Close,EU_Volume,DE_Close,DE_Volume,FR_Close,FR_Volume,Gold_Close,Gold_Volume,Gas_Close,Gas_Volume,Oil_Close,oil_Volume,HG_Close,HG_Volume,JP_Close,JP_Volume,Bond_1m_Close,Bond_6m_Close,Bond_1y_Close,Bond_5y_Close,Bond_10y_Close,Bond_30y_Close,usd_krw_Close,usd_rub_Close,usd_eur_Close,VIX_Close
696,696,2020-01-17,0.045,0.0416,0.0459,0.0412,661370000.0,0.0802,2250.57,580820000.0,29348.1,336870000.0,3329.62,3075.5,19030000000.0,3808.26,33000000.0,13526.13,86340000.0,6100.72,79320000.0,1560.3,264930.0,2.003,213280.0,58.54,122560.0,2.898,2870.0,24041.26,593810000.0,1.534,1.565,1.555,1.6228,1.825,2.285,1160.44,61.5573,0.9016,12.1
697,697,2020-01-18,0.0449,0.045,0.0458,0.0432,514300000.0,-0.0018,2250.57,580820000.0,29348.1,336870000.0,3329.62,3075.5,19030000000.0,3808.26,33000000.0,13526.13,86340000.0,6100.72,79320000.0,1560.3,264930.0,2.003,213280.0,58.54,122560.0,2.898,2870.0,24041.26,593810000.0,1.534,1.565,1.555,1.6228,1.825,2.285,1160.44,61.5573,0.9016,12.1
698,698,2020-01-19,0.042,0.0449,0.046,0.0413,492600000.0,-0.0644,2250.57,580820000.0,29348.1,336870000.0,3329.62,3075.5,19030000000.0,3808.26,33000000.0,13526.13,86340000.0,6100.72,79320000.0,1560.3,264930.0,2.003,213280.0,58.54,122560.0,2.898,2870.0,24041.26,593810000.0,1.534,1.565,1.555,1.6228,1.825,2.285,1160.44,61.5573,0.9016,12.1
699,699,2020-01-20,0.0438,0.042,0.0443,0.042,355520000.0,0.0435,2262.64,545490000.0,29348.1,336870000.0,3329.62,3095.79,21050000000.0,3799.03,20830000.0,13548.94,52880000.0,6078.54,41270000.0,1557.9,462620.0,2.003,213280.0,58.54,122560.0,2.898,2870.0,24083.51,382870000.0,1.5395,1.5673,1.5547,1.6195,1.823,2.286,1158.61,61.5553,0.9012,12.1
700,700,2020-01-21,0.0461,0.0438,0.0468,0.0435,512340000.00000006,0.0509,2239.69,770320000.0,29196.04,320640000.0,3320.79,3052.14,23480000000.0,3789.12,27590000.0,13555.87,64629999.99999999,6045.99,63920000.0,1557.9,462620.0,1.895,255720.0,58.34,50180.0,2.8495,40.0,23864.56,445890000.0,1.519,1.56,1.536,1.575,1.774,2.234,1169.01,61.8802,0.902,12.85
701,701,2020-01-22,0.0457,0.0461,0.0465,0.0453,328190000.0,-0.0067,2267.25,608510000.0,29186.27,283440000.0,3321.75,3060.75,22390000000.0,3769.79,32480000.0,13515.75,73130000.0,6010.98,69410000.0,1556.7,286080.0,1.905,240000.0,56.74,620120.0,2.8495,40.0,24031.35,489710000.0,1.524,1.56,1.544,1.5749,1.769,2.223,1164.76,61.8397,0.9013,12.91
702,702,2020-01-23,0.0432,0.0457,0.0459,0.0421,379510000.0,-0.0558,2246.13,509610000.0,29160.09,307060000.0,3325.54,2976.53,27280000000.0,3736.85,33330000.0,13388.42,90750000.0,5971.79,90040000.0,1565.4,361030.0,1.926,179790.0,55.59,704000.0,2.786,2770.0,23795.44,555110000.0,1.534,1.562,1.555,1.5436,1.731,2.175,1168.54,61.902,0.9045,12.98
703,703,2020-01-24,0.045,0.0432,0.0453,0.0414,412830000.0,0.0406,2246.13,509610000.0,28989.73,380010000.0,3295.47,2976.53,27280000000.0,3779.16,31730000.0,13576.68,87990000.0,6024.26,82330000.0,1571.9,427140.0,1.893,142190.0,54.19,586200.0,2.744,3000.0,23827.18,486580000.0,1.537,1.539,1.539,1.5088,1.686,2.135,1169.2,62.0857,0.9069,14.56
704,704,2020-01-25,0.0431,0.045,0.0452,0.0429,260970000.00000003,-0.0403,2246.13,509610000.0,28989.73,380010000.0,3295.47,2976.53,27280000000.0,3779.16,31730000.0,13576.68,87990000.0,6024.26,82330000.0,1571.9,427140.0,1.893,142190.0,54.19,586200.0,2.744,3000.0,23827.18,486580000.0,1.537,1.539,1.539,1.5088,1.686,2.135,1169.2,62.0857,0.9069,14.56
705,705,2020-01-26,0.0447,0.0431,0.0447,0.0429,292980000.0,0.0352,2246.13,509610000.0,28989.73,380010000.0,3295.47,2976.53,27280000000.0,3779.16,31730000.0,13576.68,87990000.0,6024.26,82330000.0,1571.9,427140.0,1.893,142190.0,54.19,586200.0,2.744,3000.0,23827.18,486580000.0,1.5472,1.5441,1.544,1.4498,1.629,2.081,1169.2,62.0857,0.9069,14.56
706,706,2020-01-27,0.0479,0.0447,0.049,0.0441,545470000.0,0.0718,2246.13,509610000.0,28535.8,337270000.0,3243.63,2976.53,27280000000.0,3677.84,44840000.0,13204.77,101410000.0,5863.02,104040000.0,1577.4,398060.0,1.902,72170.0,53.14,712880.0,2.6585,10.0,23343.51,624170000.0,1.527,1.549,1.541,1.4447,1.613,2.062,1176.7,62.9797,0.9074,18.23
